,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
GBD_M12_TRC Estimated Usage?,,,Yes,,,,,,,,,,,,,,no,,,,,,,,,,,,Yes,,Yes,,,,,No,,,,,,,,,,no,,,,,,,,,,yes,,yes,,no,,,,,,Yes,No,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,
GBD_M1_Days in Period,30,,31,27,,29,30,30,26,293,,,16,30,30,,31,32,,31,30,,31,29,,,31,29,32,,32,,,29,29,21,28,,29,,29,29,,,29,31,32,30,,34,,29,30,,32,29,29,29,32,31,30,,31,,,28,29,33,,32,,32,29,30,31,,,31,30,,,30,30,39,31,32,41,35,,26,,,46,31,33,33,22,28,,39,29,,32
GBD_M1_Fuel Cost,"$1,155",,$68,$117,,"$1,245",$746,$746,"$3,525",$148,,,$66,$342,$42,,$134,$37,,$20,$43,,$46,$54,,,$169,$39,$35,,$29,,,$84,$28,$32,$36,,$35,,$38,$82,,,$40,$48,$24,included,,$96,,$113,$182,,$319,$11,$26,$0,$518,$72,$57,,$497,,,$251,$67,$912,,$872,,$936,$306,$140,$23,,,$93,$504,,,$66,$227,$57,$510,$37,$348,$96,,$284,,,$109,$229,$226,$226,$708,$29,,"$1,024",$47,,"$1,421"
GBD_M1_Natural GasUsage(Therms),650,,38,36,,859,756,756,"3,762",8,,,53,324,19,,77,11,,5,23,,5,25,,,98,14,39,,32,,,53,6,55,3,,0,,28,55,,,16,9,1,10,,52,,68,197,,307,9,15,0,583,49,34,,439,,,250,35,814,,676,,786,221,125,3,,,28,308,,,37,569,23,557,0,229,33,,146,,,56,238,213,213,319,12,,"1,031",43,,782
GBD_M1_Period Ending,1/16/14,,4/30/14,4/9/14,,4/9/14,4/30/14,4/30/14,5/20/14,11/20/14,,,4/30/14,4/30/14,5/23/14,,5/8/14,6/3/14,,7/25/14,7/25/14,,7/15/14,7/8/14,,,8/11/14,8/7/14,6/16/14,,6/16/14,,,8/15/14,9/9/14,9/5/14,8/28/14,,9/10/14,,9/4/14,9/4/14,,,10/21/14,10/2/14,9/26/14,8/20/14,,10/10/13,,10/31/15,10/6/14,,10/21/14,9/3/14,9/3/14,9/3/14,10/21/14,10/8/14,10/14/14,,1/4/13,,,11/14/14,8/28/14,1/28/15,,11/25/14,,12/26/14,11/29/11,8/4/13,9/30/13,,8/30/13,6/24/13,12/23/13,,,10/17/13,10/3/13,10/15/13,10/21/13,10/25/13,10/29/13,10/23/13,,10/21/13,,,11/25/13,12/5/13,12/10/13,12/10/13,12/4/13,12/11/13,,2/10/14,2/20/14,,3/11/14
GBD_M1_TRC Estimated Usage?,,,Yes,,,,,,,no,,,,,,,no,,,,,,,,,,,,Yes,,Yes,,,,,No,,,,,,,,,,yes,,,,,,,,,,yes,,yes,,no,,,,,,No,No,No,,,,,,Yes,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,
GBD_M2_Days in Period,30,,31,34,,29,33,33,29,32,30,,33,33,31,,32,29,,28,28,,29,30,,,20,29,30,,30,,,32,29,40,32,29,30,,29,29,,,30,35,29,32,,25,32,34,30,30,29,29,29,29,29,30,31,,31,,,32,32,30,,31,,32,30,30,29,,61,36,32,,,29,29,20,29,27,25,31,,26,63,60,25,39,31,31,41,34,,21,29,,29
GBD_M2_Fuel Cost,"$1,498",,$34,$324,,"$1,245",$272,$272,"$1,028",$17,$195,,$71,$104,$69,,$81,$32,,$19,$53,,$42,$56,,,$143,$37,$33,,$27,,,$88,$52,$62,$42,$70,$88,,$31,$86,,,$526,$50,$76,included,,$283,$64,$321,$196,$21,$362,$9,$66,$10,"$1,061",$447,$108,,$659,,,$657,$61,$831,,"$1,270",,"$1,218",$468,$224,$22,,$248,$114,$902,,,$147,$243,$80,$523,$57,$289,$140,,$273,$164,$541,$716,$345,$309,$309,$775,$33,,$545,$49,,$771
GBD_M2_Natural GasUsage(Therms),828,,19,160,,864,232,232,"1,018",5,142,,36,62,39,,36,9,,5,33,,5,27,,,89,14,36,,30,,,58,27,112,4,29,44,,20,60,,,499,10,43,10,,263,26,312,348,3,376,7,62,8,"1,300",532,89,,594,,,774,28,932,,960,,"1,098",397,200,3,,93,34,530,,,140,612,60,547,15,198,54,,132,88,547,804,346,304,304,763,12,,533,45,,404
GBD_M2_Period Ending,2/11/14,,5/31/14,5/13/14,,5/8/14,6/2/14,6/2/14,6/18/14,12/22/14,4/30/14,,6/2/14,6/2/14,6/23/14,,6/9/14,7/2/14,,8/22/14,8/22/14,,8/13/14,8/7/14,,,8/31/14,9/5/14,7/16/14,,7/16/14,,,9/16/14,10/8/14,10/15/14,9/29/14,8/27/14,10/10/14,,10/3/14,10/3/14,,,11/20/14,11/6/14,10/28/14,9/19/14,,11/4/13,9/29/14,12/4/15,11/5/14,10/16/14,11/19/14,10/2/14,10/2/14,10/2/14,11/19/14,11/7/14,11/14/14,,2/4/13,,,12/16/14,9/29/14,2/27/15,,12/26/14,,1/27/15,12/28/11,9/4/13,10/29/13,,10/30/13,7/30/13,1/24/14,,,11/15/13,11/1/13,11/4/13,11/19/13,11/21/13,11/23/13,11/23/13,,11/16/13,12/26/13,11/25/13,12/20/13,1/13/14,1/10/14,1/10/14,1/14/14,1/14/14,,3/3/14,3/21/14,,4/9/14
GBD_M2_TRC Estimated Usage?,,,Yes,,,,,,,no,,,,,,,no,,,,,,,,,,,,Yes,,Yes,,,,,No,,,,,,,,,,yes,,,,,,,,,,yes,,yes,,no,,,,,,No,No,No,,,,,,Yes,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,
GBD_M3_Days in Period,61,,25,29,,23,28,28,30,42,61,,28,28,30,,29,30,,32,32,,30,29,,,39,31,29,,29,,,29,30,21,30,30,31,,32,32,,,32,26,34,29,,31,30,32,33,32,30,32,32,32,30,33,32,,29,,,31,29,210,,33,,30,31,30,29,,21,31,31,,,32,33,39,30,30,28,28,,30,62,25,34,26,31,31,21,28,,30,32,,29
GBD_M3_Fuel Cost,"$2,429",,$40,$63,,$986,$133,$133,$737,$22,$122,,$24,$33,$33,,$98,$29,,$20,$49,,$43,$46,,,$243,$40,$32,,$26,,,$86,$674,$36,$936,$112,$327,,$47,$163,,,$981,$45,$190,included,,$811,$95,$427,$719,$33,$880,$9,$159,$172,"$1,849","$1,319",$198,,$599,,,$787,$62,"$1,116",,"$1,694",,"$1,037",$416,$246,$23,,$152,$106,$599,,,$461,$318,$316,$596,$164,$422,$226,,$548,$149,$875,"$1,427",$542,$308,$308,"$1,230",$30,,$650,$36,,$366
GBD_M3_Natural GasUsage(Therms),"1,353",,18,8,,685,113,113,746,6,55,,5,12,14,,26,7,,5,28,,5,22,,,175,15,35,,29,,,58,755,70,761,51,255,,38,145,,,875,12,198,10,,817,60,359,935,10,922,7,186,140,"2,162","1,109",216,,591,,,834,30,964,,"1,297",,"1,165",349,220,4,,66,31,249,,,511,824,297,597,64,317,112,,378,74,994,"1,556",573,287,287,448,11,,668,21,,171
GBD_M3_Period Ending,4/14/14,,6/25/14,6/11/14,,5/31/14,6/30/14,6/30/14,7/18/14,2/2/15,6/30/14,,6/30/14,6/30/14,7/23/14,,7/8/14,8/1/14,,9/23/14,9/23/14,,9/12/14,9/5/14,,,10/9/14,10/6/14,8/14/14,,8/14/14,,,10/15/14,11/7/14,11/5/14,10/29/14,9/26/14,11/10/14,,11/4/14,11/4/14,,,12/22/14,12/2/14,11/26/14,10/21/14,,12/5/13,10/29/14,1/5/15,12/8/14,11/17/14,12/19/14,11/3/14,11/3/14,11/3/14,12/19/14,12/10/14,12/16/14,,3/5/13,,,1/16/15,10/28/14,9/25/15,,1/28/15,,2/26/15,1/27/12,10/4/13,11/27/13,,11/20/13,9/23/13,2/24/14,,,12/17/13,12/4/13,12/13/13,12/19/13,12/21/13,12/21/13,12/21/13,,12/16/13,2/26/14,12/20/13,1/23/14,2/8/14,2/10/14,2/10/14,2/4/14,2/11/14,,4/2/14,4/22/14,,5/8/14
GBD_M3_TRC Estimated Usage?,,,No,,,,,,,no,,,,,,,no,,,,,,,,,,,,Yes,,Yes,,,,,No,,,,,,,,,,no,,,,,,,,,,yes,,yes,,yes,,,,,,No,No,No,,,,,,Yes,,,,,yes,,,,,no,,,,,,,,,,,,,,,,,,,
GBD_M4_Days in Period,29,,33,33,,39,31,31,35,54,31,,31,31,29,,30,32,30,30,30,,31,31,,,29,30,36,,36,,,30,33,41,33,31,31,,31,31,,,32,37,30,30,,43,33,30,31,30,34,37,37,37,34,33,31,,29,,,32,34,61,,30,,29,30,31,34,,31,32,29,,,31,33,25,37,33,33,31,,30,29,35,29,33,30,30,29,30,,30,37,,32
GBD_M4_Fuel Cost,$709,,$32,$83,,"$1,267",$113,$113,$952,$27,$40,,$40,$35,$31,,$95,$30,$154,$21,$43,,$44,$58,,,"$1,042",$55,$40,,$33,,,$324,"$1,331",$82,"$1,797",$88,$688,,$47,$278,,,"$1,141",$110,$326,included,,"$2,156",$175,$597,$935,$47,"$1,005",$9,$396,$38,"$2,610","$1,613",$242,,$425,,,$936,$78,$330,,"$1,702",,$905,$220,$280,$28,,$289,$96,$318,,,$774,$319,$282,$748,$332,$531,$269,,"$1,005",$101,"$1,365","$1,269",$388,$261,$261,"$1,667",$69,,$342,$37,,$176
GBD_M4_Natural GasUsage(Therms),386,,18,15,,988,89,89,"1,011",1,13,,16,12,14,,25,7,74,6,24,,5,30,,,881,28,45,,36,,,338,"1,644",180,"1,584",38,598,,36,303,,,"1,006",59,312,56,,"2,083",147,614,"1,071",20,975,7,264,31,"2,855","1,917",246,,411,,,"1,046",40,280,,"1,478",,961,165,250,5,,163,27,97,,,829,821,265,723,152,404,140,,865,51,"1,491","1,382",395,243,243,391,17,,56,17,,69
GBD_M4_Period Ending,5/9/14,,7/28/14,7/14/14,,7/9/14,7/31/14,7/31/14,8/22/14,3/28/15,7/31/14,,7/31/14,7/31/14,8/21/14,,8/7/14,9/2/14,4/10/14,10/23/14,10/23/14,,10/13/14,10/6/14,,,11/7/14,11/5/14,9/19/14,,9/19/14,,,11/14/14,12/10/14,12/16/14,12/1/14,10/27/14,12/11/14,,12/5/14,12/5/14,,,1/23/15,1/8/15,12/30/14,11/19/14,,1/17/14,12/1/14,2/4/125,1/8/15,12/17/14,1/22/15,12/10/14,12/10/14,12/10/14,1/22/15,1/12/15,1/16/15,,4/3/13,,,2/17/15,12/1/14,11/25/15,,2/27/15,,3/27/15,2/27/12,11/4/13,12/31/13,,12/21/13,10/25/13,3/25/14,,,1/17/14,1/6/14,1/7/14,1/25/14,1/23/14,1/23/14,1/21/14,,1/15/14,3/27/14,1/24/14,2/21/14,3/13/14,3/12/14,3/12/14,3/5/14,3/13/14,,5/2/14,5/29/14,,6/9/14
GBD_M4_TRC Estimated Usage?,,,Yes,,,,,,,no,,,,,,,yes,,,,,,,,,,,,Yes,,Yes,,,,,No,,,,,,,,,,no,,,,,,,,,,yes,,yes,,no,,,,,,No,No,No,,,,,,Yes,,,,,yes,,,,,no,,,,,,,,,,,,,,,,,,,
GBD_M5_Days in Period,32,,28,28,,29,28,28,26,,28,,28,28,32,,29,29,29,29,29,,30,30,,,34,33,21,,21,,,32,33,23,30,30,33,,33,33,,,32,25,29,34,,27,30,30,29,34,29,27,27,27,29,29,32,,33,,,28,29,33,,31,,31,30,23,30,,31,27,35,,,38,29,37,26,27,27,29,,30,29,28,31,22,29,29,29,29,,34,22,,30
GBD_M5_Fuel Cost,$279,,$39,$20,,$937,$99,$99,$484,,$38,,$28,$26,$33,,$92,$34,$105,$22,$49,,$84,$165,,,"$1,188",$733,$560,,$459,,,$689,"$2,201",$47,"$2,353",$105,"$1,628",,$48,$371,,,"$1,204",$204,$293,$238,,"$1,057",$248,$478,"$1,096",$68,$911,$9,$310,$215,"$2,370","$1,730",$288,,$185,,,$779,$71,$296,,"$1,446",,$636,$107,$352,$505,,$309,$322,"$1,371",,,$687,$290,$484,$540,$148,$760,$109,,"$3,258",$56,"$1,025","$1,120",$325,$184,$184,"$1,365",$68,,$142,$19,,$92
GBD_M5_Natural GasUsage(Therms),146,,19,5,,731,90,90,502,,13,,9,7,15,,24,10,51,7,29,,48,152,,,"1,177",872,624,,511,,,815,"2,415",107,"2,020",48,861,,33,356,,,"1,305",170,289,156,,997,210,577,"1,361",32,905,7,360,175,"2,645","2,142",314,,135,,,975,34,202,,"1,221",,624,75,353,524,,173,162,943,,,723,729,453,489,50,638,36,,"3,307",23,"1,102","1,244",357,162,162,461,10,,5,6,,31
GBD_M5_Period Ending,6/10/14,,8/25/14,8/11/14,,8/7/14,8/28/14,8/28/14,9/17/14,,8/28/14,,8/28/14,8/28/14,9/22/14,,9/5/14,10/1/14,5/9/14,11/21/14,11/21/14,,11/12/14,11/5/14,,,12/11/14,12/8/14,10/10/14,,10/10/14,,,12/16/14,1/12/15,1/8/15,12/31/14,11/26/14,1/13/15,,1/7/15,1/7/15,,,2/24/15,2/2/15,1/29/15,12/19/14,,2/13/14,12/31/14,3/6/15,2/6/15,1/20/15,2/20/15,1/6/15,1/6/15,1/6/15,2/20/15,2/10/15,2/17/15,,5/6/13,,,3/17/15,12/30/14,12/28/15,,3/30/15,,4/27/15,3/28/12,11/27/13,1/30/14,,1/21/14,11/21/13,4/29/14,,,2/24/14,2/4/14,2/13/14,2/20/14,2/19/14,2/19/14,2/19/14,,2/14/14,4/25/14,2/21/14,3/24/14,4/4/14,4/10/14,4/10/14,4/3/14,4/11/14,,6/5/14,6/20/14,,7/9/14
GBD_M5_TRC Estimated Usage?,,,No,,,,,,,,,,,,,,no,,,,,,,,,,,,Yes,,Yes,,,,,No,,,,,,,,,,no,,,,,,,,,,yes,,yes,,no,,,,,,No,No,No,,,,,,,,,,,yes,,,,,no,,,,,,,,,,,,,,,,,,,
GBD_M6_Days in Period,30,,30,30,,32,32,32,30,,32,,32,32,30,,31,29,32,32,32,,30,33,,,32,31,31,,31,,,31,29,40,30,33,29,,29,29,,,29,29,31,29,,22,31,31,31,59,31,29,29,29,31,29,28,,30,,,31,31,,,29,,30,33,34,29,,30,30,28,,,23,29,22,29,29,29,29,,31,32,31,30,33,32,32,33,33,,26,32,,29
GBD_M6_Fuel Cost,$75,,$38,$65,,"$1,024",$110,$110,"$1,194",,$55,,$27,$34,$31,,$178,$30,$110,$22,$45,,$184,$606,,,"$1,582",$935,$733,,$600,,,$851,"$4,303",$90,"$2,937",$92,"$1,391",,$59,$337,,,$939,$216,$469,$729,,"$1,035",$156,$344,"$1,087",$150,$806,$9,$346,$239,"$2,057","$1,730",$221,,$109,,,$519,$73,,,$648,,$138,$61,$339,$460,,$349,$318,$346,,,$948,$289,$274,$594,$283,$137,$59,,$813,$27,$944,$636,$165,$122,$122,$434,$35,,$32,$27,,$181
GBD_M6_Natural GasUsage(Therms),33,,17,16,,798,102,102,"1,218",,22,,6,12,14,,30,8,56,6,25,,158,771,,,"1,382",980,816,,668,,,906,"4,956",227,"2,593",40,"1,244",,46,349,,,"1,016",183,531,475,,964,311,355,"1,477",82,860,7,409,194,"2,470","2,142",263,,72,,,653,37,,,484,,87,28,306,442,,214,466,114,,,"1,095",726,256,553,172,50,12,,642,4,"1,038",659,131,81,81,322,13,,0,9,,75
GBD_M6_Period Ending,7/10/14,,9/24/14,9/10/14,,9/8/14,9/29/14,9/29/14,10/17/14,,9/29/14,,9/29/14,9/29/14,10/22/14,,10/6/14,10/30/14,6/10/14,12/23/14,12/23/14,,12/12/14,12/8/14,,,1/12/15,1/8/15,11/10/14,,11/10/14,,,1/16/15,2/10/15,2/17/15,1/30/15,12/29/14,2/11/15,,2/5/15,2/5/15,,,3/25/15,3/3/15,2/27/15,1/22/15,,3/7/14,1/31/15,4/6/15,3/9/15,3/20/15,3/23/15,2/4/15,2/4/15,2/4/15,3/23/15,3/11/15,3/17/15,,6/5/13,,,4/17/15,1/30/15,,,4/28/15,,5/27/15,4/27/12,12/31/13,2/28/14,,2/20/14,12/21/13,5/27/14,,,3/19/14,3/5/14,3/7/14,3/21/14,3/20/14,3/20/14,3/20/14,,3/17/14,5/27/14,3/24/14,4/23/14,5/7/14,5/12/14,5/12/14,5/6/14,5/14/14,,7/1/14,7/22/14,,8/7/14
GBD_M6_TRC Estimated Usage?,,,No,,,,,,,,,,,,,,no,,,,,,,,,,,,Yes,,Yes,,,,,No,,,,,,,,,,no,,,,,,,,,,yes,,yes,,no,,,,,,No,No,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,
GBD_M7_Days in Period,29,,30,28,,22,30,30,31,,30,,30,30,29,,30,34,30,34,34,,33,31,,,30,30,35,,35,,,32,29,20,31,25,29,,29,29,,,27,29,30,31,,34,30,29,30,31,30,29,29,29,30,33,31,,30,,,31,32,,,30,,29,28,30,31,,28,33,28,,,29,29,39,32,32,32,32,,28,29,30,30,30,30,30,30,29,,31,29,,32
GBD_M7_Fuel Cost,$52,,$48,$34,,$703,$251,$251,"$5,771",,$54,,$83,$108,$49,,$140,$39,$70,$27,$64,,$232,$744,,,"$1,676","$1,166","$1,624",,"$1,330",,,"$1,002","$4,954",$46,"$2,489",$71,"$1,161",,$24,$334,,,$32,$166,$323,included,,"$2,184",$376,$368,$684,$32,$677,$9,$236,$139,"$1,216","$1,540",$156,,$33,,,$225,$124,,,$238,,$31,$37,$544,$478,,$282,"$1,145",$163,,,$327,$326,$326,$675,$122,$420,$63,,$704,$22,$311,$262,$70,$66,$66,$582,$26,,$38,$25,,$144
GBD_M7_Natural GasUsage(Therms),31,,25,5,,548,275,275,"6,681",,27,,58,91,30,,43,12,35,10,40,,186,770,,,"1,626","1,325","1,808",,"1,480",,,"1,124","6,438",118,"2,270",31,"1,070",,10,371,,,12,139,375,432,,"2,098",352,371,936,10,755,7,273,113,"1,517","1,569",171,,10,,,213,74,,,137,,10,7,514,508,,161,716,26,,,323,833,286,615,41,280,12,,549,2,292,222,37,32,32,91,8,,1,9,,49
GBD_M7_Period Ending,8/8/14,,10/24/14,10/8/14,,9/30/14,10/29/14,10/29/14,11/17/14,,10/29/14,,10/29/14,10/29/14,11/20/14,,11/5/14,12/3/14,7/10/14,1/26/15,1/26/15,,1/14/15,1/8/15,,,2/11/15,2/7/15,12/15/14,,12/15/14,,,2/17/15,3/11/15,3/9/15,3/2/15,1/23/15,3/12/15,,3/6/15,3/6/15,,,4/21/15,4/1/15,3/30/15,2/20/15,,4/10/14,3/2/15,5/5/15,4/8/15,4/20/15,4/22/15,3/5/15,3/5/15,3/5/15,4/22/15,4/13/15,4/17/15,,7/5/13,,,5/18/15,3/3/15,,,5/28/15,,6/25/15,5/30/12,1/30/14,3/31/14,,3/20/14,1/23/14,6/24/14,,,4/17/14,4/3/14,4/15/14,4/22/14,4/21/14,4/21/14,4/21/14,,4/14/14,6/25/14,4/23/14,5/23/14,6/6/14,6/11/14,6/11/14,6/5/14,6/12/14,,8/1/14,8/20/14,,9/8/14
GBD_M7_TRC Estimated Usage?,,,No,,,,,,,,,,,,,,no,,,,,,,,,,,,Yes,,Yes,,,,,No,,,,,,,,,,no,,,,,,,,,,yes,,yes,,no,,,,,,No,No,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,
GBD_M8_Days in Period,29,,31,30,,31,33,33,30,,33,,33,33,32,,33,30,29,30,30,,29,29,,,30,30,31,,31,,,28,33,39,29,96,33,,32,32,,,31,30,30,30,,27,29,30,29,29,29,32,32,32,29,28,28,,31,,,22,29,,,29,,32,33,29,30,,32,27,30,18,,33,33,22,30,30,30,30,,30,30,34,31,31,30,30,28,32,,28,30,,29
GBD_M8_Fuel Cost,$80,,$53,$83,,"$1,108",$885,$885,"$11,632",,$323,,$235,$360,$103,,$273,$38,$61,$22,$58,,$103,"$1,123",,,"$1,463","$1,030","$1,438",,"$1,178",,,$709,"$2,687",$73,"$2,205",$166,$744,,$50,$195,,,$225,$93,$143,included,,$485,$325,$122,$343,$77,$390,$9,$93,$50,$587,"$1,097",$75,,$22,,,$22,$81,,,$133,,$52,$41,$395,$319,,$254,$876,$130,$112,,$123,$344,$113,$638,$46,$354,$59,,$657,$21,$625,$67,$68,$53,$53,$71,$31,,$33,$27,,$147
GBD_M8_Natural GasUsage(Therms),36,,31,23,,797,"1,212","1,212","14,344",,253,,277,456,84,,204,12,30,7,36,,162,"1,277",,,"1,692","1,285","1,601",,"1,311",,,883,"3,612",166,"1,971",71,648,,39,201,,,179,57,137,328,,407,325,78,443,43,420,7,98,41,717,649,51,,0,,,30,45,,,78,,29,5,337,285,,114,520,0,81,,89,869,85,568,5,216,11,,476,0,598,30,39,25,25,38,11,,0,10,,51
GBD_M8_Period Ending,9/3/14,,11/24/14,11/7/14,,10/31/14,12/1/14,12/1/14,12/17/14,,12/1/14,,12/1/14,12/1/14,12/22/14,,12/8/14,1/2/15,8/8/14,2/25/15,2/25/15,,2/12/15,2/6/15,,,3/13/15,3/9/15,1/15/15,,1/15/15,,,3/17/15,4/13/15,4/17/15,3/31/15,4/29/15,4/14/15,,4/7/15,4/7/15,,,5/22/15,5/1/15,4/29/15,3/23/15,,5/7/14,3/31/15,6/4/15,5/7/15,5/19/15,5/21/15,4/6/15,4/6/15,4/6/15,5/21/15,5/11/15,5/15/15,,8/5/13,,,6/18/15,4/1/15,,,6/26/15,,7/27/15,6/27/12,2/28/14,4/30/14,,4/21/14,2/19/14,7/24/14,5/12/14,,5/20/14,5/6/14,5/7/14,5/22/14,5/21/14,5/21/14,5/21/14,,5/14/14,7/25/14,5/27/14,6/23/14,7/7/14,7/11/14,7/11/14,7/3/14,7/14/14,,8/29/14,9/19/14,,10/7/14
GBD_M8_TRC Estimated Usage?,,,No,,,,,,,,,,,,,,no,,,,,,,,,,,,Yes,,Yes,,,,,No,,,,,,,,,,no,,,,,,,,,,yes,,yes,,no,,,,,,Yes,No,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,
GBD_M9_Days in Period,32,,32,33,,30,30,30,34,,30,,32,30,32,,31,32,32,3,3,,30,31,,,31,30,29,,29,,,31,28,20,30,30,59,,29,29,,,32,32,31,29,,40,62,32,32,30,32,29,29,29,32,30,32,,31,,,30,29,,,32,,29,30,31,33,,30,30,29,29,,29,30,40,29,29,29,29,,33,31,27,30,30,31,31,33,29,,32,32,,29
GBD_M9_Fuel Cost,$57,,$66,$63,,"$2,222","$1,833","$1,833","$15,266",,$465,,$307,$474,$58,,$329,$40,$63,$25,$65,,$200,"$1,150",,,$946,$526,"$1,346",,"$1,102",,,$485,$337,$32,$970,$67,$251,,$34,$95,,,$368,$55,$90,included,,$216,$186,$104,$174,$20,$315,$9,$37,$3,$458,$521,$56,,$22,,,$30,$101,,,$91,,$25,$37,$535,$155,,$169,$513,$121,$66,,$71,$279,$64,$562,$39,$329,$61,,$636,$22,$39,$34,$54,$44,$44,$173,$55,,$39,$28,,$316
GBD_M9_Natural GasUsage(Therms),28,,38,11,,"1,041","2,123","2,123","18,532",,350,,317,516,32,,247,13,31,1,5,,169,"1,433",,,993,643,"1,498",,"1,227",,,607,363,65,822,27,147,,24,70,,,332,12,56,103,,139,111,70,182,0,345,7,26,3,571,51,32,,0,,,30,60,,,48,,6,4,500,107,,63,278,0,27,,40,687,24,524,0,206,13,,432,0,14,10,29,19,19,62,8,,0,9,,124
GBD_M9_Period Ending,9/10/14,,12/26/14,12/10/14,,11/30/14,12/31/14,12/31/14,1/20/15,,12/31/14,,1/2/15,12/31/14,1/23/15,,1/8/15,2/3/15,9/9/14,2/28/15,2/28/15,,3/14/15,3/9/15,,,4/13/15,4/8/15,2/13/15,,2/13/15,,,4/17/15,5/11/15,5/7/15,4/30/15,5/29/15,6/12/15,,5/6/15,5/6/15,,,6/23/15,6/2/15,5/29/15,4/22/15,,6/16/14,6/1/15,7/6/15,6/8/15,6/18/15,6/22/15,5/5/15,5/5/15,5/5/15,6/22/15,6/10/15,6/16/15,,9/5/13,,,7/18/15,4/30/15,,,7/28/15,,8/25/15,7/30/12,3/31/14,6/2/14,,5/21/14,3/20/14,8/22/14,6/10/14,,6/18/14,6/5/14,6/16/14,6/20/14,6/19/14,6/19/14,6/19/14,,6/16/14,8/25/14,6/23/14,7/23/14,8/6/14,8/11/14,8/11/14,8/5/14,8/12/14,,9/30/14,10/21/14,,11/5/14
GBD_M9_TRC Estimated Usage?,,,No,,,,,,,,,,,,,,no,,,,,,,,,,,,Yes,,Yes,,,,,No,,,,,,,,,,no,,,,,,,,,,yes,,yes,,no,,,,,,Yes,No,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,
GBD_Total_Days in Period,394,,365,364,,365,365,365,361,421,365,,351,365,365,,366,367,366,336,335,,366,364,,,367,364,362,,362,,,365,364,356,364,365,364,,364,364,,,365,365,365,353,,363,368,365,367,366,367,364,364,364,367,369,367,,365,,,355,365,367,,367,,365,365,359,363,,356,367,363,137,,365,365,363,364,363,365,365,,352,372,361,377,365,365,365,365,362,,365,365,,367
GBD_Total_Fuel Cost,"$6,564",,$716,"$2,216",,"$13,636","$9,805","$9,805","$76,063",$215,"$2,619",,"$1,879","$3,333",$605,,"$2,414",$416,"$1,137",$269,$609,,"$1,242","$4,811",,,"$8,878","$4,855","$8,433",,"$6,904",,,"$4,668","$16,688",$632,"$13,909",$817,"$6,389",,$481,"$2,070",,,"$5,524","$1,132","$2,015","$2,228",,"$8,650","$1,815","$3,170","$5,580",$556,"$6,475",$90,"$1,760",$866,"$13,911","$10,299","$1,513",,"$2,990",,,"$4,585",$891,"$3,483",,"$8,507",,"$5,610","$1,991","$3,777","$2,253",,"$2,426","$4,495","$5,176",$278,,"$3,783","$3,255","$2,065","$6,829","$1,349","$4,500","$1,827",,"$9,695",$616,"$5,819","$5,737","$2,409","$1,750","$1,750","$7,694",$488,,"$3,842",$404,,"$6,868"
GBD_Total_Natural GasUsage(Therms),"3,594",,415,"1,294",,"9,697","12,053","12,053","92,779",20,"2,228",,"1,972","3,789",344,,"1,591",123,598,72,322,,924,"5,412",,,"8,419","5,422","9,389",,"7,687",,,"5,129","20,258","1,325","12,052",341,"4,867",,351,"1,962",,,"5,240",674,"1,948","1,631",,"8,047","1,618","3,034","7,056",244,"6,734",73,"1,743",704,"16,264","10,316","1,463",,"2,629",,,"4,758",471,"3,192",,"6,644",,"5,325","1,457","3,367","2,031",,"1,180","2,696","2,523",138,,"3,896","8,196","1,756","6,710",499,"3,153",943,,"8,128",248,"6,099","5,993","2,315","1,471","1,471","3,289",137,,"3,327",236,,"3,267"
GBD_Total_TRC Estimated Usage?,,,4,,,,,,,0,,,,,,,1,,,,,,,,,,,,12,,12,,,,,0,,,,,,,,,,2,,,,,,,,,,12,,12,,1,,,,,,0,0,0,,,,,,4,,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,
HSTS_Friday_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSTS_Friday_50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSTS_Friday_58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
